trial,nrows,nbins,filter,sketch_size,time (ns)
3,1000000,1000,filter1,8,11324800.00
4,1000000,1000,filter1,8,11033900.00
0,1000000,1000,filter2,1,5440700.00
1,1000000,1000,filter2,1,4974200.00
2,1000000,1000,filter2,1,5363100.00
3,1000000,1000,filter2,1,8285100.00
4,1000000,1000,filter2,1,7790400.00
0,1000000,1000,filter2,2,7037300.00
1,1000000,1000,filter2,2,7349100.00
2,1000000,1000,filter2,2,6851800.00
3,1000000,1000,filter2,2,7109400.00
4,1000000,1000,filter2,2,7260200.00
0,1000000,1000,filter2,4,10362500.00
1,1000000,1000,filter2,4,10422900.00
2,1000000,1000,filter2,4,10373400.00
3,1000000,1000,filter2,4,10167000.00
4,1000000,1000,filter2,4,10502000.00
0,1000000,1000,filter2,8,10938300.00
1,1000000,1000,filter2,8,10895100.00
2,1000000,1000,filter2,8,10732700.00
3,1000000,1000,filter2,8,11225400.00
4,1000000,1000,filter2,8,10495600.00
0,1000000,1000,filter3,1,2036200.00
1,1000000,1000,filter3,1,1757000.00
2,1000000,1000,filter3,1,1770400.00
3,1000000,1000,filter3,1,1490500.00
4,1000000,1000,filter3,1,1384900.00
0,1000000,1000,filter3,2,10686400.00
1,1000000,1000,filter3,2,10709600.00
2,1000000,1000,filter3,2,10737600.00
3,1000000,1000,filter3,2,10143500.00
4,1000000,1000,filter3,2,10322600.00
0,1000000,1000,filter3,4,11969200.00
1,1000000,1000,filter3,4,12497600.00
2,1000000,1000,filter3,4,12240800.00
3,1000000,1000,filter3,4,12688800.00
4,1000000,1000,filter3,4,12126700.00
0,1000000,1000,filter3,8,6848300.00
1,1000000,1000,filter3,8,6590600.00
2,1000000,1000,filter3,8,6866000.00
3,1000000,1000,filter3,8,7485900.00
4,1000000,1000,filter3,8,7058200.00
0,1000000,10000,filter1,1,4765700.00
1,1000000,10000,filter1,1,5022200.00
2,1000000,10000,filter1,1,4985400.00
