trial,nrows,nbins,filter,sketch_size,time (ns)
1,100000,10000,filter2,8,945700.00
2,100000,10000,filter2,8,811500.00
3,100000,10000,filter2,8,854800.00
4,100000,10000,filter2,8,820300.00
0,100000,10000,filter3,1,625600.00
1,100000,10000,filter3,1,537600.00
2,100000,10000,filter3,1,501100.00
3,100000,10000,filter3,1,493400.00
4,100000,10000,filter3,1,515300.00
0,100000,10000,filter3,2,637900.00
1,100000,10000,filter3,2,540300.00
2,100000,10000,filter3,2,524600.00
3,100000,10000,filter3,2,524600.00
4,100000,10000,filter3,2,524200.00
0,100000,10000,filter3,4,727300.00
1,100000,10000,filter3,4,775100.00
2,100000,10000,filter3,4,1213800.00
3,100000,10000,filter3,4,967600.00
4,100000,10000,filter3,4,728700.00
0,100000,10000,filter3,8,849000.00
1,100000,10000,filter3,8,737700.00
2,100000,10000,filter3,8,726000.00
3,100000,10000,filter3,8,692700.00
4,100000,10000,filter3,8,695200.00
0,100000,10000,filter4,1,288200.00
1,100000,10000,filter4,1,311800.00
2,100000,10000,filter4,1,253300.00
3,100000,10000,filter4,1,233000.00
4,100000,10000,filter4,1,229100.00
0,100000,10000,filter4,2,24774500.00
1,100000,10000,filter4,2,824100.00
2,100000,10000,filter4,2,539700.00
3,100000,10000,filter4,2,529300.00
4,100000,10000,filter4,2,563100.00
0,100000,10000,filter4,4,860700.00
1,100000,10000,filter4,4,845700.00
2,100000,10000,filter4,4,841100.00
3,100000,10000,filter4,4,887100.00
4,100000,10000,filter4,4,838500.00
0,100000,10000,filter4,8,1514500.00
1,100000,10000,filter4,8,1492300.00
2,100000,10000,filter4,8,1456300.00
3,100000,10000,filter4,8,1737600.00
4,100000,10000,filter4,8,1743301.00
0,1000000,10,filter1,1,8447800.00
1,1000000,10,filter1,1,9355301.00
2,1000000,10,filter1,1,8937000.00
3,1000000,10,filter1,1,9109800.00
4,1000000,10,filter1,1,8635600.00
0,1000000,10,filter1,2,12214200.00
1,1000000,10,filter1,2,12042000.00
2,1000000,10,filter1,2,13258400.00
3,1000000,10,filter1,2,12800401.00
4,1000000,10,filter1,2,12146900.00
0,1000000,10,filter1,4,18843700.00
1,1000000,10,filter1,4,19034100.00
2,1000000,10,filter1,4,19117001.00
3,1000000,10,filter1,4,18357100.00
4,1000000,10,filter1,4,17913600.00
0,1000000,10,filter1,8,31173101.00
1,1000000,10,filter1,8,31257000.00
2,1000000,10,filter1,8,30749900.00
3,1000000,10,filter1,8,31740001.00
4,1000000,10,filter1,8,35148200.00
0,1000000,10,filter2,1,9552601.00
