trial,nrows,nbins,filter,sketch_size,time (ns)
3,1000000,10,filter3,1,8178800.00
4,1000000,10,filter3,1,7409600.00
0,1000000,10,filter3,2,9476800.00
1,1000000,10,filter3,2,10483200.00
2,1000000,10,filter3,2,9775900.00
3,1000000,10,filter3,2,9627100.00
4,1000000,10,filter3,2,8560100.00
0,1000000,10,filter3,4,14927800.00
1,1000000,10,filter3,4,14561400.00
2,1000000,10,filter3,4,15002400.00
3,1000000,10,filter3,4,15155800.00
4,1000000,10,filter3,4,15781400.00
0,1000000,10,filter3,8,28113401.00
1,1000000,10,filter3,8,27882700.00
2,1000000,10,filter3,8,26900400.00
3,1000000,10,filter3,8,27974300.00
4,1000000,10,filter3,8,27501300.00
0,1000000,100,filter1,1,2283800.00
1,1000000,100,filter1,1,2240700.00
2,1000000,100,filter1,1,2726600.00
3,1000000,100,filter1,1,2321700.00
4,1000000,100,filter1,1,2191200.00
0,1000000,100,filter1,2,3665700.00
1,1000000,100,filter1,2,3748700.00
2,1000000,100,filter1,2,4039500.00
3,1000000,100,filter1,2,3629100.00
4,1000000,100,filter1,2,3675800.00
0,1000000,100,filter1,4,6526700.00
1,1000000,100,filter1,4,5918600.00
2,1000000,100,filter1,4,6614700.00
3,1000000,100,filter1,4,7370600.00
4,1000000,100,filter1,4,7221000.00
0,1000000,100,filter1,8,10277400.00
1,1000000,100,filter1,8,10356100.00
2,1000000,100,filter1,8,9460700.00
3,1000000,100,filter1,8,10156200.00
4,1000000,100,filter1,8,9731600.00
0,1000000,100,filter2,1,2238900.00
1,1000000,100,filter2,1,2196000.00
2,1000000,100,filter2,1,1990500.00
3,1000000,100,filter2,1,1939800.00
4,1000000,100,filter2,1,2204200.00
0,1000000,100,filter2,2,4401300.00
1,1000000,100,filter2,2,3629201.00
2,1000000,100,filter2,2,3440100.00
3,1000000,100,filter2,2,4047900.00
4,1000000,100,filter2,2,3916100.00
0,1000000,100,filter2,4,5877600.00
